show_id,type,title,director,country,date_added,release_year,rating,duration(min),listed_in
s8602,Movie,Tokyo Idols,Kyoko Miyake,United Kingdom,2017-10-01,2017,TV-14,89,Music & Musicals
s8602,Movie,Tokyo Idols,Kyoko Miyake,Canada,2017-10-01,2017,TV-14,89,Documentaries
s8602,Movie,Tokyo Idols,Kyoko Miyake,Canada,2017-10-01,2017,TV-14,89,International Movies
s8602,Movie,Tokyo Idols,Kyoko Miyake,Canada,2017-10-01,2017,TV-14,89,Music & Musicals
s8602,Movie,Tokyo Idols,Kyoko Miyake,Japan,2017-10-01,2017,TV-14,89,Documentaries
s8602,Movie,Tokyo Idols,Kyoko Miyake,Japan,2017-10-01,2017,TV-14,89,International Movies
s8602,Movie,Tokyo Idols,Kyoko Miyake,Japan,2017-10-01,2017,TV-14,89,Music & Musicals
s8607,Movie,Tope: The Bait,Buddhadev Dasgupta,India,2018-03-01,2016,TV-14,87,Dramas
s8607,Movie,Tope: The Bait,Buddhadev Dasgupta,India,2018-03-01,2016,TV-14,87,Independent Movies
s8607,Movie,Tope: The Bait,Buddhadev Dasgupta,India,2018-03-01,2016,TV-14,87,International Movies
s8609,Movie,Total Frat Movie,Warren P. Sonoda,United States,2016-12-19,2016,NR,94,Comedies
s8611,Movie,Tracers,Daniel Benmayor,United States,2019-10-22,2015,PG-13,94,Action & Adventure
s8614,Movie,Train to Busan,Sang-ho Yeon,South Korea,2017-03-18,2016,TV-MA,118,Action & Adventure
s8614,Movie,Train to Busan,Sang-ho Yeon,South Korea,2017-03-18,2016,TV-MA,118,Horror Movies
s8614,Movie,Train to Busan,Sang-ho Yeon,South Korea,2017-03-18,2016,TV-MA,118,International Movies
s8617,Movie,Transcendence,Wally Pfister,United Kingdom,2018-11-01,2014,PG-13,119,Sci-Fi & Fantasy
s8617,Movie,Transcendence,Wally Pfister,United Kingdom,2018-11-01,2014,PG-13,119,Thrillers
s8617,Movie,Transcendence,Wally Pfister,China,2018-11-01,2014,PG-13,119,Sci-Fi & Fantasy
s8617,Movie,Transcendence,Wally Pfister,China,2018-11-01,2014,PG-13,119,Thrillers
s8617,Movie,Transcendence,Wally Pfister,United States,2018-11-01,2014,PG-13,119,Sci-Fi & Fantasy
s8617,Movie,Transcendence,Wally Pfister,United States,2018-11-01,2014,PG-13,119,Thrillers
s8618,Movie,Trash,Stephen Daldry,United Kingdom,2019-01-01,2014,R,114,Dramas
s8618,Movie,Trash,Stephen Daldry,United Kingdom,2019-01-01,2014,R,114,Independent Movies
s8618,Movie,Trash,Stephen Daldry,United Kingdom,2019-01-01,2014,R,114,Thrillers
s8618,Movie,Trash,Stephen Daldry,Brazil,2019-01-01,2014,R,114,Dramas
s8618,Movie,Trash,Stephen Daldry,Brazil,2019-01-01,2014,R,114,Independent Movies
s8618,Movie,Trash,Stephen Daldry,Brazil,2019-01-01,2014,R,114,Thrillers
s8618,Movie,Trash,Stephen Daldry,Germany,2019-01-01,2014,R,114,Dramas
s8618,Movie,Trash,Stephen Daldry,Germany,2019-01-01,2014,R,114,Independent Movies
s8618,Movie,Trash,Stephen Daldry,Germany,2019-01-01,2014,R,114,Thrillers
s8619,Movie,Trash Fire,Richard Bates Jr.,United States,2017-02-02,2016,R,94,Comedies
s8619,Movie,Trash Fire,Richard Bates Jr.,United States,2017-02-02,2016,R,94,Dramas
s8619,Movie,Trash Fire,Richard Bates Jr.,United States,2017-02-02,2016,R,94,Independent Movies
s8620,Movie,Treasures from the Wreck of the Unbelievable,Sam Hobkinson,United Kingdom,2018-01-01,2017,TV-G,82,Documentaries
s8620,Movie,Treasures from the Wreck of the Unbelievable,Sam Hobkinson,United Kingdom,2018-01-01,2017,TV-G,82,Dramas
s8620,Movie,Treasures from the Wreck of the Unbelievable,Sam Hobkinson,United Kingdom,2018-01-01,2017,TV-G,82,International Movies
s8621,Movie,Tree Man,Jon Reiner,Canada,2016-11-01,2015,TV-PG,82,Documentaries
s8621,Movie,Tree Man,Brad Rothschild,Canada,2016-11-01,2015,TV-PG,82,Documentaries
s8626,Movie,Tremors 5:  Bloodline,Don Michael Paul,South Africa,2020-01-01,2015,PG-13,99,Comedies
s8626,Movie,Tremors 5:  Bloodline,Don Michael Paul,South Africa,2020-01-01,2015,PG-13,99,Horror Movies
s8626,Movie,Tremors 5:  Bloodline,Don Michael Paul,South Africa,2020-01-01,2015,PG-13,99,Sci-Fi & Fantasy
s8626,Movie,Tremors 5:  Bloodline,Don Michael Paul,United States,2020-01-01,2015,PG-13,99,Comedies
s8626,Movie,Tremors 5:  Bloodline,Don Michael Paul,United States,2020-01-01,2015,PG-13,99,Horror Movies
s8626,Movie,Tremors 5:  Bloodline,Don Michael Paul,United States,2020-01-01,2015,PG-13,99,Sci-Fi & Fantasy
s8627,Movie,Tremors 6: A Cold Day in Hell,Don Michael Paul,United States,2018-05-01,2018,PG-13,98,Action & Adventure
s8627,Movie,Tremors 6: A Cold Day in Hell,Don Michael Paul,United States,2018-05-01,2018,PG-13,98,Comedies
s8627,Movie,Tremors 6: A Cold Day in Hell,Don Michael Paul,United States,2018-05-01,2018,PG-13,98,Horror Movies
s8627,Movie,Tremors 6: A Cold Day in Hell,Don Michael Paul,South Africa,2018-05-01,2018,PG-13,98,Action & Adventure
s8627,Movie,Tremors 6: A Cold Day in Hell,Don Michael Paul,South Africa,2018-05-01,2018,PG-13,98,Comedies
s8627,Movie,Tremors 6: A Cold Day in Hell,Don Michael Paul,South Africa,2018-05-01,2018,PG-13,98,Horror Movies
s8628,Movie,Trespass Against Us,Adam Smith,United Kingdom,2019-02-22,2016,R,100,Dramas
s8631,Movie,Trip to Bhangarh: Asia's Most Haunted Place,Jitender Pawar,India,2017-11-01,2014,TV-MA,113,International Movies
s8631,Movie,Trip to Bhangarh: Asia's Most Haunted Place,Jitender Pawar,India,2017-11-01,2014,TV-MA,113,Thrillers
s8632,Movie,Trixie Mattel: Moving Parts,Nicholas Zeig-Owens,United States,2020-03-27,2019,TV-MA,91,Documentaries
s8632,Movie,Trixie Mattel: Moving Parts,Nicholas Zeig-Owens,United States,2020-03-27,2019,TV-MA,91,Music & Musicals
s8633,Movie,Trophy,Shaul Schwarz,United Kingdom,2018-02-13,2017,TV-MA,110,Documentaries
